Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Pipil	ppl	pipi1250	True	True	True	True	False
Pinotepa Nacional Mixtec	mio	pino1237	True	True	False	True	True
Pima Bajo	pia	pima1248	False	True	True	True	True
Pichi	fpe	fern1234	True	True	False	True	True
Piapoco	pio	piap1246	True	True	True	True	False
Patwin	pwi	patw1250	True	True	True	True	False
Panytyima	pnw	pany1241	False	True	True	True	True
Panará	kre	pana1307	False	True	True	True	True
Panare	pbh	enap1235	True	True	True	True	False
Panamint	par	pana1305	True	True	False	True	True
Pamosu	hih	pamo1253	True	True	False	True	True
Pahari Newari	phj	paha1257	False	True	True	True	True
Pagibete	pae	pagi1243	True	True	False	True	True
Orowe	bpk	orow1242	True	True	False	True	True
Old Welsh	owl	oldw1239	True	True	False	True	True
Old Saxon	osx	olds1250	True	True	False	True	True
Oirata	oia	oira1263	True	False	True	True	True
Odual	odu	odua1238	True	False	True	True	True
Nzadi	nzd	nzad1234	False	True	True	True	True
Nyulnyul	nyv	nyul1247	False	True	True	True	True
Nyakyusa-Ngonde	nyy	nyak1260	True	True	False	True	True
Nukna	klt	nukn1238	True	True	True	True	False
Northern Pastaza Quichua	qvz	nort2973	True	True	False	True	True
Northern Hmong	NOCODE_Northern-Hmong	nort3244	True	True	False	True	True
Northern Dagara	dgi	nort2780	True	True	True	True	False
North-Central Ju	knw	kung1261	True	True	False	True	True
North Slavey	scs	nort2942	False	True	True	True	True
North Ambrym	mmg	nort2839	True	True	True	True	False
Nopala Chatino	cya	nopa1235	True	True	True	True	False
Noon	snf	noon1242	False	True	True	True	True
Nomatsiguenga	not	noma1263	False	True	True	True	True
Nizaa	sgi	suga1248	True	True	False	True	True
Nias	nia	nias1242	True	True	True	True	False
Ngizim	ngi	ngiz1242	True	False	True	True	True
Ngalkbun	ngk	ngal1292	True	True	False	True	True
Nen	nqn	nenn1238	True	True	True	True	False
Ndut	ndv	ndut1239	True	False	True	True	True
Nauete	nxa	naue1237	True	True	True	True	False
Nanga	nzz	nang1261	True	True	True	True	False
Nambo	ncm	namb1293	True	True	True	True	False
Naman	lzl	litz1237	False	True	True	True	True
Namakura	nmk	nama1268	False	True	True	True	True
Nakanai	nak	naka1262	False	True	True	True	True
Najanga-Kindige	dbu	bond1248	True	True	True	True	False
Mwani	wmw	mwan1247	True	True	True	True	False
Mwaghavul	sur	mwag1236	True	True	True	True	False
Muyang	muy	muya1243	False	True	True	True	True
Murui Huitoto	huu	muru1274	True	True	True	True	False
Mursi	muz	murs1242	False	True	True	True	True
Mungbam	mij	abar1238	False	True	True	True	True
Mundabli	boe	mund1328	True	True	True	True	False
Muna	mnb	muna1247	False	True	True	True	True
Mpoto	mpa	mpot1240	True	True	False	True	True
Moloko	mlw	molo1266	True	True	True	True	False
Molale	mbe	mola1238	True	True	False	True	True
Mohave	mov	moha1256	False	True	True	True	True
Modern Greek	ell	mode1248	True	True	False	True	True
Minigir	vmg	mini1251	False	True	True	True	True
