Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
Mlabri	mra	mlab1235	False	False	True	False	False	True
Miya	mkf	miya1266	False	False	False	False	True	True
Misool-Salawati Ma'ya	slz	maya1282	False	False	False	False	True	True
Miluk	iml	milu1241	False	False	True	False	False	True
Milang	NOCODE_Milang	mila1245	False	False	True	False	False	True
Mezquital Otomi	ote	mezq1235	False	False	True	False	False	True
Mewari	mtr	mewa1249	False	False	False	True	False	True
Mescalero-Chiricahua Apache	apm	mesc1238	False	True	False	False	False	True
Mesaka	iyo	mesa1245	False	False	False	False	True	True
Mekeo	mek	meke1243	False	True	False	False	False	True
Mbuko	mqb	mbuk1243	False	False	True	False	False	True
Mbre	mka	mbre1244	False	False	True	False	False	True
